nombre_estudiante,Nota,periodo
"Isabella Torres",5,2020A
"Isabella Pérez",4.8,2020A
"María González",4.8,2020A
"Miguel Martínez",4.4,2020A
"Juan Ramírez",4.4,2020A
"Diego Pérez",4.3,2020A
"María Torres",3.7,2020A
"Valentina García",3.4,2020A
"Alejandro Martínez",3,2020A
"Alejandro Hernández",3,2020A
"Isabella García",4.6,2020B
"Isabella Martínez",4.4,2020B
"Valentina Ramírez",4.3,2020B
"Valentina Pérez",4.1,2020B
"Diego López",4.1,2020B
"Miguel Hernández",3.8,2020B
"Isabella Martínez",3.5,2020B
"María Martínez",3.5,2020B
"Miguel García",3.4,2020B
"Camila García",3.3,2020B
"Miguel Ramírez",4.9,2021A
"Carlos González",4.9,2021A
"Valentina García",4.6,2021A
"Camila González",4.6,2021A
"Isabella Torres",3.4,2021A
"Miguel García",3,2021A
"Alejandro López",3,2021A
"Sofía Ramírez",2.9,2021A
"María Sánchez",2.8,2021A
"María Pérez",2.8,2021A
"Carlos González",4.6,2021B
"Alejandro Pérez",4.4,2021B
"Camila Ramírez",4.4,2021B
"Camila Rodríguez",4.2,2021B
"Valentina Rodríguez",4.2,2021B
"Juan Martínez",4.1,2021B
"Camila Hernández",4,2021B
"Isabella Pérez",3.8,2021B
"Isabella Ramírez",3.4,2021B
"Miguel Hernández",2.8,2021B
"Carlos Hernández",4.6,2022A
"María Sánchez",4.4,2022A
"Camila Pérez",4.3,2022A
"Diego Torres",4.3,2022A
"Isabella Ramírez",4,2022A
"Juan Rodríguez",4,2022A
"Isabella López",3.9,2022A
"María Pérez",3.8,2022A
"Alejandro González",3.6,2022A
"Valentina Pérez",3.4,2022A
"Isabella Pérez",4.8,2022B
"Isabella Ramírez",4.8,2022B
"Miguel García",4.6,2022B
"Camila Sánchez",4.1,2022B
"Sofía Ramírez",4.1,2022B
"Alejandro Torres",3.8,2022B
"Isabella López",3.5,2022B
"Alejandro García",2.9,2022B
"Diego González",2.9,2022B
"Diego Hernández",2.6,2022B
